SNID,File_key,Galaxy_Key,RA_Galaxy,Dec_Galaxy,Position_Angle,Major_Axis,Minor_Axis,Mag,Mag_Error,Flux,Flux_Error,CXX_IMAGE,CYY_IMAGE,CXY_IMAGE
2005am,hst_16269_12_wfc3_ir_f160w_iedh12_drz,13,6.3289263,12.8621109,-49.74,5.281,4.016,-6.2993,0.0016,330.9273,0.5021146,0.051083781,0.046779495,0.025781611
2005am,hst_16269_18_wfc3_ir_f160w_iedh18_drz,14,6.3247543,12.8637186,48.39,4.799,3.466,-4.2148,0.0123,48.52201,0.5480366,0.065680854,0.060982939,-0.039543405
2005be,hst_11110_04_acs_sbc_f150lp_j9zp04_drz,15,195.8144501,50.6149779,-30.62,1.264,1.065,3.5363,0.0,0.03850223,5.737107e-08,0.69199783,0.81539214,0.22488251
2005be,j9zp04030_drz,16,195.8058175,50.6213909,88.77,4.292,3.0,4.1649,0.0,0.02157947,3.973329e-07,0.11105791,0.054313459,-0.0024436153
2005be,j9zp04020_drz,17,195.8054153,50.6212662,16.31,1.24,0.683,4.9802,0.1099,0.01018362,0.001030572,0.76828444,2.0256956,-0.80476296
2005be,hst_11110_04_acs_sbc_f150lp_drz,18,195.8142636,50.6150477,17.42,0.702,0.623,5.4574,0.1234,0.006561911,0.000745875,2.0770679,2.526372,-0.31275967
2005be,j9zp04010_drz,19,195.8062027,50.621645,7.94,1.354,0.758,4.58,0.0691,0.01472322,0.000936217,0.5685454,1.7178952,-0.3268683
2005be,hst_11110_04_acs_sbc_f125lp_j9zp04_drz,20,195.8143554,50.6148982,0.0,0.708,0.5,6.5943,0.2092,0.00230297,0.0004435392,1.9944758,4.0,-3.3770152e-06
2005be,hst_11110_04_acs_sbc_f125lp_drz,21,195.8149164,50.61703,-53.46,18.822,8.898,-1.7832,0.0104,5.16759,0.04930163,0.0091544827,0.0062996335,0.0093841571
2005be,hst_11110_04_acs_sbc_f140lp_drz,22,195.8166435,50.6166835,-79.49,17.854,7.847,-1.2994,0.0134,3.309546,0.04084254,0.015805198,0.0035726505,0.0046982984
2005be,hst_11110_04_acs_sbc_f140lp_j9zp04_drz,23,195.8143619,50.6148464,59.91,1.268,0.61,3.4446,0.0,0.04189624,1.422146e-07,2.1656344,1.1401473,-1.7894989
1997bq,hst_15145_33_wfc3_ir_f160w_idgg33_drz,24,154.2230311,73.4007045,67.38,57.187,46.794,-15.0465,0.0001,1043774.0,48.96202,0.00043437787,0.00032809676,-0.00010714927
1997bq,idgg33020_drz,25,154.2227621,73.4005957,-85.88,56.264,44.655,-15.0686,0.0001,1065201.0,68.13321,0.00050052616,0.00031684709,2.6619868e-05
1997bq,hst_15145_39_wfc3_ir_f160w_idgg39_drz,26,154.223238,73.4006844,52.96,59.634,52.647,-15.126,0.0,1123088.0,50.10025,0.00033190238,0.00031008007,-7.6542281e-05
1997bq,idgg31020_drz,27,154.2230451,73.4006644,-84.12,54.888,43.017,-15.0444,0.0001,1041753.0,70.45885,0.00053821516,0.0003341171,4.2498126e-05
1997bq,hst_15145_37_wfc3_ir_f160w_idgg37_drz,28,154.2232237,73.400662,50.35,60.62,52.432,-15.1221,0.0,1119073.0,51.12999,0.00032643505,0.00030943356,-9.0034504e-05
1997bq,hst_skycell-p2583x18y09_wfc3_ir_f160w_all_drz,29,154.1960113,73.376895,10.42,24.009,15.574,-6.9601,0.0113,608.2086,6.30422,0.0018130401,0.0040449025,-0.00084993226
1997bq,idgg35020_drz,30,154.2228057,73.4005929,-86.07,55.705,44.053,-15.0676,0.0001,1064206.0,68.30173,0.00051438913,0.00032317467,2.6379921e-05
1997bq,idgg39020_drz,31,154.2241786,73.4007297,29.04,61.014,42.709,-15.0329,0.0001,1030800.0,77.23727,0.00033450697,0.00048234491,-0.00023733184
1997bq,hst_15145_3b_wfc3_ir_f160w_idgg3b_drz,32,154.2232291,73.4006681,49.63,60.763,51.733,-15.1162,0.0,1112964.0,50.68431,0.00033052469,0.00031396886,-0.00010146003
1997bq,idgg37020_drz,33,154.2241073,73.4005966,28.02,61.184,43.326,-15.0329,0.0001,1030776.0,73.47179,0.0003257544,0.00047411563,-0.00022030022
1997bq,hst_16234_69_wfc3_ir_f160w_ieel69_drz,34,154.0811036,73.3813527,-15.81,1.98,0.583,-6.8981,0.02,574.4391,10.59771,0.45479238,2.7454629,1.4107271
1997bq,idgg3b020_drz,35,154.22425,73.400687,27.98,61.117,43.515,-15.0337,0.0001,1031533.0,72.90399,0.00032503039,0.00047080539,-0.0002157725
1997bq,hst_15145_31_wfc3_ir_f160w_idgg31_drz,36,154.2229907,73.4007164,67.11,56.892,46.911,-15.043,0.0001,1040436.0,48.24276,0.00043239951,0.00033097394,-0.00010425166
1997bq,hst_16234_70_wfc3_ir_f160w_ieel70_drz,37,154.2033973,73.3989531,86.86,18.769,5.187,-9.9502,0.0116,9551.256,102.2498,0.037067264,0.0029416094,-0.0037510963
1997bq,hst_skycell-p2583x18y09_wfc3_ir_f160w_coarse-all_drz,38,154.2006842,73.3763609,-24.62,0.68,0.374,-5.3031,0.0137,132.2075,1.673717,3.0260942,6.2866678,3.7814715
1997bq,hst_15145_35_wfc3_ir_f160w_idgg35_drz,39,154.2230171,73.4007482,61.54,62.206,47.101,-15.0531,0.0001,1050107.0,51.35683,0.00040708185,0.00030209628,-0.00016113991
2007ba,ie5411040_drz,40,186.7999022,9.4199259,69.99,40.511,18.864,-12.8331,0.002,135907.4,254.1813,0.0025524443,0.00086716475,-0.0014155984
2007ba,hst_skycell-p1547x08y09_wfc3_ir_f140w_all_drz,41,186.8119008,9.4037376,44.24,1.186,0.571,-2.9275,0.2404,14.8254,3.282062,1.8584778,1.9206579,-2.3567214
2007ba,hst_12880_34_wfc3_ir_f160w_ic1334_drz,42,186.7960612,9.3944569,-30.2,1.366,0.727,-7.5095,0.0011,1008.768,0.9854639,0.8787694,1.5477555,1.1774176
2007ba,hst_skycell-p1547x08y09_wfc3_ir_f125w_coarse-all_drz,43,186.7981338,9.4207354,22.67,48.814,13.962,-13.2587,0.0036,201140.1,667.2333,0.0011192444,0.0044305893,-0.0033501815
2007ba,hst_skycell-p1547x08y08_wfc3_ir_f160w_all_drz,44,186.8440034,9.349167,-28.01,6.963,3.096,-5.1385,0.0006,113.6008,0.05954712,0.039081443,0.085855715,0.069396734
2007ba,ibxb90060_drz,45,186.8035873,9.4202153,-10.79,1.158,1.123,-12.798,0.0106,131588.3,1281.41,0.7470848,0.79145908,0.017558046
2007ba,hst_15889_11_wfc3_ir_f125w_ie5411_drz,46,186.8211532,9.3954101,64.27,2.94,1.657,-9.9816,0.0029,9832.116,26.00036,0.31723568,0.16253254,-0.19425552
2007ba,hst_12880_30_wfc3_ir_f160w_ic1330_drz,47,186.7960602,9.3944507,-5.15,1.825,0.831,-7.5825,0.001,1078.899,1.028648,0.30947578,1.4393042,0.20513876
2007ba,ic1331020_drz,48,186.7855594,9.4307057,18.38,0.734,0.455,-2.0655,0.1787,6.701959,1.102749,2.153564,4.5404201,-1.7824098
2007ba,hst_12582_91_wfc3_ir_f160w_ibxb91_drz,49,186.8049355,9.4191167,-24.11,1.405,0.307,-8.9198,0.1857,3697.47,632.1039,2.1927521,8.9245453,7.5352693
2007ba,hst_skycell-p1547x08y08_wfc3_ir_f160w_coarse-all_drz,50,186.8416155,9.3573438,50.5,6.753,5.748,-12.1495,0.0,72407.5,0.4548506,0.026892811,0.025301049,-0.0081817294
2007ba,ic1327020_drz,51,186.7802145,9.4262005,46.64,0.736,0.563,-1.1498,0.2184,2.883434,0.579797,2.540273,2.4654253,-1.3064951
2007ba,hst_skycell-p1547x08y09_wfc3_ir_f140w_coarse-all_drz,52,186.8099052,9.4055745,7.11,1.01,0.794,-5.5836,0.1067,171.1786,16.82442,0.98954809,1.5780088,-0.14906745
2007ba,hst_12880_31_wfc3_ir_f160w_ic1331_drz,53,186.7956983,9.3948006,-30.47,1.412,0.816,-7.3877,0.0015,901.7521,1.234717,0.75865769,1.2441657,0.87364548
2007ba,hst_skycell-p1547x08y08_wfc3_ir_f105w_coarse-all_drz,54,186.8221925,9.3954076,48.92,0.861,0.456,-6.0091,0.028,253.3123,6.53536,3.3094056,2.8384237,-3.420723
2007ba,hst_12880_27_wfc3_ir_f160w_ic1327_drz,55,186.7960964,9.3944324,-58.64,2.865,0.943,-8.1261,0.0009,1780.129,1.483051,0.85312957,0.39349225,0.89147067
2007ba,ibxb91050_drz,56,186.8035929,9.4202364,71.34,1.072,1.042,-11.2562,0.0415,31805.17,1215.623,0.91498417,0.87463075,-0.030768353
2007ba,hst_skycell-p1547x08y09_wfc3_ir_f160w_all_drz,57,186.831072,9.4035711,-20.99,0.756,0.398,1.3624,0.0827,0.2851225,0.02172293,2.3356314,5.7277136,3.0512919
2007ba,ibxb91060_drz,58,186.803593,9.4202301,-86.82,1.057,1.055,-11.2868,0.0415,32713.7,1248.615,0.89884275,0.89514071,0.00041216702
2007ba,hst_skycell-p1547x08y09_wfc3_ir_f105w_coarse-all_drz,59,186.8099033,9.4055834,-89.11,0.889,0.722,-5.1579,0.1767,115.6504,18.81628,1.916609,1.2643731,0.020190135
2007ba,hst_skycell-p1547x08y08_wfc3_ir_f140w_all_drz,60,186.8233927,9.39572,-53.43,4.687,1.931,-8.3232,0.0029,2134.331,5.740674,0.1890559,0.12452935,0.21299623
2007ba,hst_12880_27_wfc3_ir_f160w_drz,61,186.7963762,9.3945893,-0.22,73.498,5.038,-7.0697,0.0034,672.8012,2.12185,0.00018570224,0.039402645,0.00030231191
2007ba,ie5411010_drz,62,186.8011587,9.4193527,64.27,38.819,18.45,-11.3269,0.0039,33943.37,122.6843,0.0025092727,0.001092182,-0.0017787737
2007ba,hst_skycell-p1547x08y08_wfc3_ir_f140w_coarse-all_drz,63,186.8219485,9.3958755,19.74,0.725,0.394,-5.3394,0.044,136.7022,5.543542,2.4195747,5.9146624,-2.8792264
2007ba,ic1330020_drz,64,186.7826234,9.4282853,-1.94,0.964,0.707,-2.4734,0.124,9.758242,1.113814,1.0762799,2.002208,0.062681884
2007ba,hst_12880_26_wfc3_ir_f160w_drz,65,186.796379,9.3945966,-0.22,73.842,5.223,-7.191,0.0032,752.3312,2.241597,0.00018394741,0.036662843,0.00028307078
2007ba,hst_12582_91_wfc3_ir_f125w_ibxb91_drz,66,186.8035914,9.4202289,-66.32,1.082,1.055,-11.2973,0.0337,33030.41,1025.278,0.89130652,0.86099118,0.032917261
2007ba,ic1326020_drz,67,186.7829973,9.4286024,-35.83,0.791,0.503,99.0,99.0,-2.932884,0.9491732,2.40292,3.1420851,2.2307045
2007ba,ic1334020_drz,68,186.7831676,9.4287583,17.74,0.765,0.449,-1.8336,0.1723,5.413031,0.85879,2.0079119,4.6503396,-1.8833897
2007ba,hst_15889_11_wfc3_ir_f160w_ie5411_drz,69,186.8245109,9.3959431,21.69,3.297,2.232,-8.6238,0.0056,2815.206,14.49061,0.1068596,0.18593484,-0.074733406
2007ba,ibxb90050_drz,70,186.8035901,9.420223,-12.4,1.13,1.081,-11.8667,0.0276,55804.56,1416.898,0.78662294,0.85234827,0.030367604
2007ba,ie5411070_drz,71,186.8007834,9.4181668,24.73,19.798,12.086,-10.2293,0.0249,12351.72,283.38,0.0033028231,0.0060939072,-0.0032636563
2007ba,hst_skycell-p1547x08y08_wfc3_ir_f125w_coarse-all_drz,72,186.8205191,9.3949933,-37.53,1.58,1.173,-10.1112,0.0013,11078.05,13.30319,0.52150649,0.60549295,0.31482047
